GENE_ID,Chr,Start,End,Strand,Length,DFT1_CONT_1_S10,DFT1_CONT_2_S7,DFT1_CONT_3_S6,DFT1_Saha1_1_S1,DFT1_Saha1_2_S24,DFT1_Saha1_3_S12,DFT1_Saha2_1_S3,DFT1_Saha2_2_S22,DFT1_Saha2_3_S9,DFT1_Saha3_1_S23,DFT1_Saha3_2_S18,DFT1_Saha3_3_S14,DFT1_Saha4_1_S11,DFT1_Saha4_2_S2,DFT1_Saha4_3_S15,DFT1_Saha5_1_S8,DFT1_Saha5_2_S21,DFT1_Saha5_3_S5,DFT1_Saha6_1_S19,DFT1_Saha6_2_S16,DFT1_Saha6_3_S20,DFT1_Saha7_1_S13,DFT1_Saha7_2_S17,DFT1_Saha7_3_S4
LOC100917453,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,368451;383601;388298;390175;392524;395033;398106;400885,368681;383707;388495;390285;392623;395122;398280;401465,+;+;+;+;+;+;+;+,1593,3267,3885,3944,3467,3452,3640,3985,3326,3143,2832,2641,2812,2846,2879,2640,4491,4583,5053,3626,3025,2990,3838,3672,3231
AIFM2,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,401728;401728;401728;404275;404275;404275;404712;404712;404712;408583;408583;408583;409467;409467;409467;411605;411605;411605,402200;402228;401811;404452;404452;404452;404912;404912;404912;408735;408735;408735;409575;409575;409575;411650;411650;411650,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,1188,3290,4036,3944,3595,3348,3601,3681,2993,2849,2883,2628,2892,2970,2872,2776,2855,3024,3244,3804,3283,3336,3726,3637,3329
TYSND1,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,429321;429984;430118;431215;433466;434369,429639;430116;430167;431345;433629;434422,-;-;-;-;-;-,851,588,709,637,511,507,572,642,499,469,511,477,545,628,598,608,666,655,827,897,726,836,606,578,543
SAR1A,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,437166;442024;445135;446792;447264;447501,440652;442155;445238;446857;447383;447605,-;-;-;-;-;-,4014,3230,3935,4001,3728,3404,3852,4066,3127,3161,3896,3487,3943,3947,3814,3785,3087,2859,3455,4109,3604,3576,3798,3850,3404
PPA1,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,474923;476209;478987;479743;480947;482915;484547;487901;488745;506349,475230;476251;479056;479828;481074;483041;484633;488020;488798;506407,-;-;-;-;-;-;-;-;-;-,1082,1715,1968,1951,2213,1953,2281,2354,1947,1853,2865,2720,3009,2665,2628,2610,3082,3002,3499,2740,2437,2662,1964,1978,1796
LRRC20,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,524982;529981;548259;561404,526724;530148;548408;561551,-;-;-;-,2209,255,342,326,289,265,318,335,261,281,414,458,455,660,641,662,110,91,125,323,279,277,337,328,280
LOC105749281,NW_003816426.1;NW_003816426.1;NW_003816426.1,540022;545797;546421,540040;546310;546571,+;+;+,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP2,NW_003816426.1;NW_003816426.1,616028;617980,616229;624163,+;+,6386,9326,12936,13274,11841,11807,12309,12766,10182,10174,13621,12293,14268,13234,12938,12906,3597,3605,4279,11593,9149,9389,12547,13607,10859
NODAL,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,628410;630570;631630;635198,628834;630833;632024;635354,-;-;-;-,1241,2,2,2,1,1,3,1,2,2,3,1,6,6,5,7,3,0,0,3,3,2,4,2,3
PALD1,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,662860;696651;698460;700611;701131;701859;703087;703406;704011;704443;706921;708047;713849;733472;738079,663026;696858;698562;700790;701295;702019;703162;703557;704110;704535;707016;708124;714076;733627;738288,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2173,12,4,6,4,4,5,3,2,0,2,3,5,4,5,8,5,2,1,10,7,1,5,5,15
PRF1,NW_003816426.1;NW_003816426.1;NW_003816426.1,760840;767137;774961,763095;767713;775075,-;-;-,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111720071,NW_003816426.1;NW_003816426.1;NW_003816426.1,772107;774883;776769,772476;775092;776804,+;+;+,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111720734,NW_003816426.1;NW_003816426.1;NW_003816426.1,804080;805500;805670,804285;805571;806228,+;+;+,837,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LINGO1,NW_003816427.1,716301,718154,+,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMG20A,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1006230;1006230;1006230;1006230;1006230;1012255;1012255;1012255;1012255;1012255;1012875;1012875;1012875;1012875;1012875;1013577;1013577;1013577;1013577;1013577;1021194;1021194;1021194;1021194;1021194;1022080;1022080;1022080;1022080;1022080;1023848;1023848;1023848;1023848;1023848;1026536;1026536;1026536;1026536;1029008;1029008;1029008;1029008;1029008;1071849;1071849;1071849;1071849;1072047,1008568;1008568;1008568;1008568;1008568;1012397;1012397;1012397;1012397;1012397;1013090;1013090;1013090;1013090;1013090;1013652;1013652;1013652;1013652;1013652;1021225;1021222;1021225;1021225;1021225;1022212;1022212;1022212;1022212;1022212;1024060;1024060;1024060;1024060;1024060;1026683;1026683;1026683;1026683;1029100;1029100;1029096;1029100;1029100;1072009;1072008;1072007;1072004;1072387,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3895,2263,2949,2888,2477,2398,2724,2646,2237,2237,2332,2165,2317,2545,2353,2366,441,415,520,2127,1789,1740,2710,2782,2475
PEAK1,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1068837;1068837;1123521;1123521;1141715;1141715;1145554;1202504;1202504;1272419;1272419;1294629;1294629;1305752;1305752;1319844;1319844;1322182;1322182,1071081;1071081;1123591;1123591;1141844;1141844;1145619;1202671;1202671;1275673;1275673;1294819;1294819;1306497;1306497;1320978;1320978;1325262;1325262,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,11088,1727,2638,2843,2511,2538,2589,2554,1991,2011,3079,2758,3308,2254,2104,2245,307,320,406,2105,1692,1834,2769,3349,2328
TSPAN3,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1378883;1381364;1382306;1382724;1387529;1388666;1389111;1393779,1378887;1381466;1382497;1382798;1387630;1388818;1389194;1394622,+;+;+;+;+;+;+;+,1558,4860,6163,5971,5685,5281,5878,5920,5119,4935,6846,6626,7185,9139,8710,8395,1452,1626,1848,5272,4677,4422,5646,5606,5014
PSTPIP1,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1405177;1410193;1413485;1414852;1416851;1418467;1419677;1420526;1423644;1424432;1436791;1440643;1489597,1405247;1410283;1413581;1414950;1416930;1418512;1419775;1420588;1423750;1424466;1436865;1440743;1489791,-;-;-;-;-;-;-;-;-;-;-;-;-,1159,5,13,16,10,3,20,15,17,10,6,12,15,20,16,15,0,0,2,8,12,8,7,16,6
RCN2,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1542982;1544313;1545411;1548096;1555566;1557365,1543848;1544455;1545507;1548209;1555762;1557470,-;-;-;-;-;-,1524,2257,2829,2537,2275,2250,2326,2258,1920,2063,2029,1904,2118,2473,2362,2273,532,561,618,1655,1486,1520,2572,2594,2184
SCAPER,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1608075;1608075;1608075;1608075;1608075;1626970;1626970;1626970;1626970;1637326;1637326;1637326;1637326;1637326;1641846;1641846;1641846;1641846;1641846;1652433;1652433;1652433;1652433;1652433;1654013;1654013;1654013;1654013;1654013;1665914;1665914;1665914;1665914;1665914;1677625;1677625;1677625;1677625;1677625;1681734;1681734;1681734;1681734;1681734;1684286;1684286;1684286;1684286;1684286;1687313;1687313;1687313;1687313;1687313;1691176;1691176;1691176;1691176;1691179;1691563;1691563;1691563;1691563;1691563;1699706;1699706;1699706;1699706;1699706;1704939;1704939;1704939;1704939;1704939;1705638;1705638;1705638;1705638;1705638;1722924;1722924;1722924;1722924;1722924;1723784;1723784;1723784;1723784;1723784;1724497;1724497;1724497;1724497;1724497;1745952;1745952;1745952;1745952;1745952;1762953;1762953;1762953;1762953;1762953;1784183;1784183;1784183;1784183;1784183;1837920;1837920;1837920;1837920;1837920;1862080;1862080;1862080;1862080;1862080;1883961;1883961;1883961;1883961;1883961;1893444;1893444;1893444;1893444;1893444;1912260;1912260;1912260;1912260;1912260;1919011;1919287;1919287;1919287;1919297;1952480;1952480;1952480;1952480;1955010;1955010;1955010;1957341;1957341;1957341,1608149;1608149;1608149;1608149;1608149;1627087;1627087;1627087;1627087;1637396;1637396;1637396;1637396;1637396;1642043;1642043;1642043;1642043;1642043;1652533;1652533;1652533;1652533;1652533;1654129;1654129;1654129;1654129;1654129;1666074;1666074;1666074;1666074;1666074;1677887;1677887;1677887;1677887;1677887;1681955;1681955;1681955;1681955;1681955;1684456;1684456;1684456;1684456;1684456;1687388;1687388;1687388;1687388;1687388;1691296;1691296;1691296;1691296;1691296;1691674;1691674;1691674;1691674;1691674;1699846;1699846;1699846;1699846;1699846;1705094;1705094;1705094;1705094;1705094;1705780;1705780;1705780;1705780;1705780;1723005;1723005;1723005;1723005;1723005;1723936;1723936;1723936;1723936;1723936;1724604;1724604;1724604;1724604;1724604;1746088;1746088;1746088;1746088;1746088;1763018;1763018;1763018;1763018;1763018;1784309;1784309;1784309;1784309;1784309;1838035;1838035;1838035;1838035;1838035;1862203;1862203;1862203;1862203;1862203;1884196;1884196;1884196;1884196;1884196;1893599;1893599;1893599;1893599;1893599;1912497;1912497;1912497;1912497;1912497;1919233;1919436;1919436;1919436;1919436;1952671;1952671;1952671;1952561;1955061;1955061;1955061;1957792;1957792;1957792,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,4858,996,1245,1287,1171,1207,1138,1214,1115,1048,1219,1031,1138,1255,1188,1230,165,180,208,949,823,720,1227,1380,1121
LOC111718827,NW_003816427.1;NW_003816427.1;NW_003816427.1,1854132;1860085;1860926,1854257;1860360;1860956,+;+;+,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL2,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,1965828;1966852;1967589;1970421;1971573;1976562;1976825;1996337;1996836;2027204,1966265;1967019;1967875;1970683;1971762;1976588;1977186;1996480;1997057;2027304,-;-;-;-;-;-;-;-;-;-,2202,7,19,16,15,10,7,13,10,7,6,5,12,12,10,7,9,4,8,12,10,4,16,18,10
LOC111718517,NW_003816427.1,2029773,2037345,+,7573,14,9,13,9,12,12,3,11,6,16,12,7,5,6,7,3,5,0,19,19,14,6,11,3
ETFA,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2059618;2061943;2062158;2067450;2069155;2069993;2071469;2073902;2097084;2098945;2103734,2059764;2062024;2062240;2067549;2069265;2070094;2071537;2073984;2097149;2099025;2104007,+;+;+;+;+;+;+;+;+;+;+,1198,3264,3880,3717,3300,3155,3337,3252,2780,2857,2727,2545,2858,3430,3318,3244,2524,2615,2855,3631,3259,3370,3554,3457,3222
TMEM266,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2121322;2125988;2138075;2161196;2164072;2167947;2184990;2194926;2210724;2213018,2121926;2126050;2138264;2161311;2164210;2168003;2185063;2195080;2210912;2213031,-;-;-;-;-;-;-;-;-;-,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRG4,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2313108;2313108;2313108;2313108;2313108;2313108;2313108;2313108;2313174;2313175;2314111;2314111;2314111;2314111;2314111;2314111;2314111;2314111;2314111;2314111;2315858;2315858;2315858;2315858;2315858;2315858;2317440;2317440;2317440;2317440;2317440;2317440;2317440;2317440;2317440;2317440;2317504;2337985;2337985;2337985;2337985;2337985;2337985;2364900;2365568;2365568;2365568;2365568;2365568;2365568;2365568;2365568;2365568;2365568;2365568;2372797;2372797;2372797;2372797;2376428;2376428;2376428;2376428;2376428;2376428;2376428;2376428;2380529;2380529;2380529;2380529;2380529;2380529;2380529;2380529;2380529;2380529,2313441;2313441;2313441;2313441;2313441;2313441;2313441;2313441;2313200;2313200;2314176;2314176;2314176;2314176;2314176;2314176;2314176;2314176;2314176;2314176;2315987;2315987;2315987;2315987;2315987;2315987;2317533;2317533;2317533;2317533;2317533;2317533;2317533;2317533;2317533;2317533;2317533;2338029;2338029;2338029;2338029;2338029;2338029;2364961;2365717;2365717;2365717;2365717;2365717;2365717;2365717;2365717;2365717;2365717;2365717;2372876;2372876;2372876;2372876;2376513;2376513;2376513;2376513;2376513;2376513;2376513;2376514;2380728;2380728;2380728;2380728;2380728;2380728;2380728;2380728;2380728;2380728,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,1248,4,5,8,11,10,7,10,20,10,43,25,30,51,70,60,0,0,2,19,22,22,1,12,4
FBXO22,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2383199;2388946;2394957;2397157;2397949;2405507,2384326;2389111;2395118;2397252;2398036;2405639,-;-;-;-;-;-,1773,3115,3723,3733,3368,3084,3281,3528,3114,2986,3047,2962,3170,3340,3204,3114,1037,918,1177,3022,2326,2294,3499,3370,3056
UBE2Q2,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2417760;2421022;2422967;2423545;2427694;2429483;2431624;2437015;2447371;2449465;2451115;2453840,2419517;2421088;2423062;2423593;2427752;2429573;2431684;2437099;2447511;2449521;2451219;2453944,-;-;-;-;-;-;-;-;-;-;-;-,2674,2668,3666,3478,3329,3035,3418,3432,2972,2916,4042,3691,4177,4971,4652,4634,657,804,849,3191,2786,2665,3498,3465,3194
CHRNB4,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2611700;2614458;2619813;2625819;2626903;2628007;2632780,2611895;2614502;2619961;2625863;2627012;2628970;2633379,+;+;+;+;+;+;+,2109,4,9,3,5,5,4,8,8,8,4,7,2,11,19,13,0,1,1,0,2,5,5,6,3
CHRNA3,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2646118;2646271;2651551;2653471;2664435,2646153;2646315;2651660;2654482;2664902,+;+;+;+;+,1671,622,727,737,595,640,711,693,663,640,819,664,850,847,839,812,265,274,301,850,558,595,725,704,648
CHRNA5,NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1;NW_003816427.1,2669730;2670513;2672339;2676157;2679369,2669891;2671344;2672448;2676201;2679518,-;-;-;-;-,1299,1,1,4,0,6,6,5,7,2,4,4,9,13,4,13,0,0,0,2,4,5,3,9,7
